app_id,category,publisher_tier
app_00000,news,tier_2
app_00001,gaming,tier_3
app_00002,gaming,tier_1
app_00003,utility,tier_2
app_00004,news,tier_3
app_00005,gaming,tier_2
app_00006,ecommerce,tier_1
app_00007,social,tier_2
app_00008,entertainment,tier_3
app_00009,entertainment,tier_2
app_00010,finance,tier_2
app_00011,utility,tier_1
app_00012,social,tier_2
app_00013,social,tier_2
app_00014,entertainment,tier_3
app_00015,gaming,tier_2
app_00016,social,tier_1
app_00017,finance,tier_1
app_00018,utility,tier_2
app_00019,entertainment,tier_2
app_00020,entertainment,tier_2
app_00021,finance,tier_2
app_00022,news,tier_3
app_00023,finance,tier_2
app_00024,finance,tier_2
app_00025,gaming,tier_2
app_00026,gaming,tier_2
app_00027,ecommerce,tier_2
app_00028,gaming,tier_2
app_00029,social,tier_3
app_00030,social,tier_2
app_00031,entertainment,tier_2
app_00032,gaming,tier_1
app_00033,entertainment,tier_2
app_00034,entertainment,tier_2
app_00035,gaming,tier_1
app_00036,social,tier_3
app_00037,entertainment,tier_2
app_00038,social,tier_2
app_00039,entertainment,tier_2
app_00040,entertainment,tier_2
app_00041,gaming,tier_3
app_00042,news,tier_3
app_00043,gaming,tier_2
app_00044,news,tier_3
app_00045,gaming,tier_3
app_00046,entertainment,tier_1
app_00047,utility,tier_2
app_00048,social,tier_3
app_00049,gaming,tier_2
app_00050,social,tier_2
app_00051,entertainment,tier_3
app_00052,news,tier_2
app_00053,gaming,tier_3
app_00054,gaming,tier_3
app_00055,utility,tier_3
app_00056,entertainment,tier_2
app_00057,news,tier_2
app_00058,utility,tier_2
app_00059,ecommerce,tier_3
app_00060,utility,tier_3
app_00061,social,tier_2
app_00062,gaming,tier_1
app_00063,gaming,tier_2
app_00064,social,tier_2
app_00065,news,tier_2
app_00066,news,tier_2
app_00067,utility,tier_2
app_00068,utility,tier_2
app_00069,entertainment,tier_2
app_00070,gaming,tier_2
app_00071,entertainment,tier_2
app_00072,utility,tier_1
app_00073,utility,tier_3
app_00074,news,tier_3
app_00075,news,tier_3
app_00076,utility,tier_1
app_00077,ecommerce,tier_3
app_00078,news,tier_1
app_00079,entertainment,tier_2
app_00080,social,tier_1
app_00081,entertainment,tier_1
app_00082,utility,tier_2
app_00083,news,tier_1
app_00084,utility,tier_2
app_00085,entertainment,tier_2
app_00086,entertainment,tier_1
app_00087,ecommerce,tier_1
app_00088,ecommerce,tier_2
app_00089,gaming,tier_2
app_00090,finance,tier_2
app_00091,gaming,tier_2
app_00092,news,tier_3
app_00093,social,tier_1
app_00094,social,tier_2
app_00095,finance,tier_3
app_00096,news,tier_3
app_00097,social,tier_3
app_00098,ecommerce,tier_3
app_00099,ecommerce,tier_2
app_00100,social,tier_1
app_00101,finance,tier_2
app_00102,finance,tier_3
app_00103,social,tier_1
app_00104,ecommerce,tier_2
app_00105,gaming,tier_2
app_00106,gaming,tier_1
app_00107,ecommerce,tier_1
app_00108,finance,tier_3
app_00109,entertainment,tier_3
app_00110,social,tier_3
app_00111,social,tier_3
app_00112,entertainment,tier_3
app_00113,news,tier_1
app_00114,utility,tier_2
app_00115,ecommerce,tier_2
app_00116,utility,tier_3
app_00117,ecommerce,tier_2
app_00118,entertainment,tier_2
app_00119,finance,tier_2
app_00120,news,tier_3
app_00121,entertainment,tier_3
app_00122,news,tier_2
app_00123,ecommerce,tier_2
app_00124,news,tier_2
app_00125,entertainment,tier_2
app_00126,utility,tier_3
app_00127,entertainment,tier_2
app_00128,entertainment,tier_3
app_00129,finance,tier_1
app_00130,finance,tier_2
app_00131,news,tier_2
app_00132,entertainment,tier_2
app_00133,gaming,tier_2
app_00134,gaming,tier_3
app_00135,social,tier_2
app_00136,gaming,tier_2
app_00137,utility,tier_2
app_00138,gaming,tier_3
app_00139,gaming,tier_2
app_00140,entertainment,tier_3
app_00141,news,tier_2
app_00142,gaming,tier_2
app_00143,gaming,tier_2
app_00144,finance,tier_1
app_00145,news,tier_2
app_00146,finance,tier_2
app_00147,gaming,tier_2
app_00148,utility,tier_1
app_00149,gaming,tier_3
app_00150,news,tier_2
app_00151,utility,tier_1
app_00152,gaming,tier_2
app_00153,gaming,tier_1
app_00154,news,tier_3
app_00155,entertainment,tier_2
app_00156,entertainment,tier_2
app_00157,ecommerce,tier_3
