"content_id","video_session_id","user_id","event_type","event","event_timestamp","platform","app_version","country","audio_language","subtitle_language","player_version","session_start_epoch"
90000004,"open-02","user-011","VideoSessionStart","VideoSessionStart",1785693600000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000004,"open-02","user-011","VideoHeartbeat","Seek",1785693640000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000004,"open-02","user-011","VideoHeartbeat","BufferStart",1785693680000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000004,"open-02","user-011","VideoHeartbeat","BufferEnd",1785693720000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000004,"open-02","user-011","VideoHeartbeat","Seek",1785693760000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000005,"dupstart-02","user-021","VideoSessionStart","VideoSessionStart",1785693780000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000005,"dupstart-02","user-021","VideoSessionStart","VideoSessionStart",1785693780000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000001,"gap-01","user-018","VideoSessionStart","VideoSessionStart",1785693780000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693780000
90000005,"dupstart-02","user-021","VideoPlay","Play",1785693781500,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000001,"gap-01","user-018","VideoPlay","Play",1785693781500,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693780000
90000004,"open-02","user-011","VideoHeartbeat","BufferEnd",1785693800000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000005,"dupstart-02","user-021","VideoHeartbeat","Seek",1785693820000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000001,"gap-01","user-018","VideoHeartbeat","Seek",1785693820000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693780000
90000002,"plain-02","user-017","VideoSessionStart","VideoSessionStart",1785693840000,"IPHONE","4.1.0","india","eng","unk","2.0.1",1785693840000
90000003,"plain-03","user-008","VideoSessionStart","VideoSessionStart",1785693840000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000002,"plain-07","user-006","VideoSessionStart","VideoSessionStart",1785693840000,"ANDROID_PHONE","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000004,"open-02","user-011","VideoHeartbeat","BufferStart",1785693840000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000002,"error-01","user-033","VideoSessionStart","VideoSessionStart",1785693840000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000002,"plain-02","user-017","VideoPlay","Play",1785693841500,"IPHONE","4.1.0","india","eng","unk","2.0.1",1785693840000
90000003,"plain-03","user-008","VideoPlay","Play",1785693841500,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000002,"plain-07","user-006","VideoPlay","Play",1785693841500,"ANDROID_PHONE","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000005,"dupstart-02","user-021","VideoHeartbeat","upshift",1785693860000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000005,"dupstart-02","user-021","VideoHeartbeat","network-activity",1785693860000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000001,"gap-01","user-018","VideoHeartbeat","video-resize",1785693860000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693780000
90000002,"plain-02","user-017","VideoHeartbeat","upshift",1785693880000,"IPHONE","4.1.0","india","eng","unk","2.0.1",1785693840000
90000003,"plain-03","user-008","VideoHeartbeat","video-resize",1785693880000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000003,"plain-03","user-008","VideoHeartbeat","network-activity",1785693880000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000002,"plain-07","user-006","VideoHeartbeat","Seek",1785693880000,"ANDROID_PHONE","4.1.0","india","hin","OFF","2.0.1",1785693840000
90000004,"open-02","user-011","VideoHeartbeat","Seek",1785693880000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000004,"open-02","user-011","VideoHeartbeat","Seek",1785693880000,"IPHONE","4.1.0","singapore","eng","unk","2.0.1",1785693600000
90000002,"error-01","user-033","VideoHeartbeat","upshift",1785693880000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000002,"error-01","user-033","VideoHeartbeat","buffer-health",1785693880000,"SONY_ANDROID_TV","4.1.0","india","tam","eng","2.0.1",1785693840000
90000005,"dupstart-02","user-021","VideoHeartbeat","Seek",1785693900000,"IPHONE","4.1.0","unknown","eng","unk","2.0.1",1785693780000
90000003,"pause-01","user-006","VideoSessionStart","VideoSessionStart",1785693900000,"FIRE_TV","4.1.0","india","eng","unk","2.0.1",1785693900000
