"Timestamp","service","level","Body"
"2026-08-02T05:00:56.730183000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T05:00:29.299473000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T05:00:29.299421000Z","pulse-concurrency-api","info","breakdown ok"
"2026-08-02T05:00:28.438883000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T05:00:28.438842000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T05:00:28.432243000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T05:00:28.432030000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T05:00:23.941856000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T05:00:16.598991000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T05:00:16.598409000Z","pulse-concurrency-api","info","breakdown ok"
"2026-08-02T05:00:04.633320000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:58.700620000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:58.700579000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:58.671042000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:58.670615000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:52.152209000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:52.138787000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:51.359556000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:51.359496000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:44.975153000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:44.974994000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:44.030082000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:44.022460000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:43.980106000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:43.980026000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:41.729637000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:41.080074000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:40.352221000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:40.352195000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:39.840954000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:39.083961000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:37.174752000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:37.174577000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:29.717787000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:28.891047000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:26.986579000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:26.986244000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:59:26.605996000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:25.736537000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:25.502240000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:25.369282000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:59:09.050540000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:06:05.628654000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:06:05.624393000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:06:05.622691000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:06:05.622532000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:59.131293000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:58.977637000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:58.977608000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:58.926475000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:58.926412000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:58.852728000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:58.070626000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:57.758873000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:56.730612000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:56.730570000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:56.054656000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:56.054625000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:56.021380000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:56.021303000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:56.004407000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:56.004370000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:46.618333000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:46.598554000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:46.326132000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:46.326042000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:44.203857000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:44.201221000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:44.189605000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:43.942840000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:43.942814000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:43.480291000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:40.571298000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:40.571211000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:39.589087000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:38.834552000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:36.925298000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:36.925227000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:20.095999000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:19.348926000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:16.782974000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:16.782831000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:05:01.483729000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:05:00.701795000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:04:58.645466000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:04:58.645410000Z","pulse-concurrency-api","info","chart ok"
"2026-08-02T04:04:57.358183000Z","pulse-concurrency-api","info","request ok"
"2026-08-02T04:04:56.590737000Z","pulse-concurrency-api","info","chart ok"
