"Timestamp","service","level","duration","SpanName"
"2026-08-02T05:00:27.839901000Z","pulse-concurrency-api","Unset","592","concurrency.chart"
"2026-08-02T05:00:27.839901000Z","pulse-concurrency-api","Unset","599","concurrency.chart"
"2026-08-02T05:00:27.839900000Z","pulse-concurrency-api","Unset","1460","concurrency.breakdown"
"2026-08-02T05:00:27.839864000Z","pulse-concurrency-api","Ok","592","http.POST /api/v1/concurrency/chart"
"2026-08-02T05:00:27.839864000Z","pulse-concurrency-api","Ok","599","http.POST /api/v1/concurrency/chart"
"2026-08-02T05:00:27.839864000Z","pulse-concurrency-api","Ok","1460","http.POST /api/v1/concurrency/breakdown"
"2026-08-02T05:00:14.846643000Z","pulse-concurrency-api","Unset","1752","concurrency.breakdown"
"2026-08-02T05:00:14.846309000Z","pulse-concurrency-api","Ok","1753","http.POST /api/v1/concurrency/breakdown"
"2026-08-02T05:00:04.075752000Z","pulse-concurrency-api","Ok","558","http.GET /api/v1/schema/values"
"2026-08-02T04:59:56.788554000Z","pulse-concurrency-api","Unset","1882","concurrency.chart"
"2026-08-02T04:59:56.788554000Z","pulse-concurrency-api","Unset","1912","concurrency.chart"
"2026-08-02T04:59:56.788544000Z","pulse-concurrency-api","Ok","1883","http.POST /api/v1/concurrency/chart"
"2026-08-02T04:59:56.788540000Z","pulse-concurrency-api","Ok","1912","http.POST /api/v1/concurrency/chart"
"2026-08-02T04:59:50.711711000Z","pulse-concurrency-api","Unset","648","concurrency.chart"
"2026-08-02T04:59:50.711711000Z","pulse-concurrency-api","Unset","1440","concurrency.chart"
"2026-08-02T04:59:50.711658000Z","pulse-concurrency-api","Ok","1441","http.POST /api/v1/concurrency/chart"
"2026-08-02T04:59:50.711658000Z","pulse-concurrency-api","Ok","648","http.POST /api/v1/concurrency/chart"
"2026-08-02T04:59:42.985687000Z","pulse-concurrency-api","Unset","1044","concurrency.chart"
"2026-08-02T04:59:42.985682000Z","pulse-concurrency-api","Ok","1044","http.POST /api/v1/concurrency/chart"
"2026-08-02T04:59:42.985643000Z","pulse-concurrency-api","Unset","994","concurrency.chart"
